reg;naimko;regko;golofic;filial;dopof;vsego
Тамбовская область;АО Банк «ТКПБ»;1312;1;;6;7
Тамбовская область;АО «АЛЬФА-БАНК»;1326;;;4;4
Тамбовская область;ПАО Сбербанк;1481;;1;145;146
Тамбовская область;АО МОСОБЛБАНК;1751;;;1;1
Тамбовская область;АКБ «ФОРА-БАНК» (АО);1885;;;1;1
Тамбовская область;ПАО Банк «ФК Открытие»;2209;;;1;1
Тамбовская область;ПАО РОСБАНК;2272;;;1;1
Тамбовская область;ПАО «БАНК УРАЛСИБ»;2275;;;1;1
Тамбовская область;АО «Банк Русский Стандарт»;2289;;;1;1
Тамбовская область;(АО «Банк „Агророс“);2860;;;1;1
Тамбовская область;ПАО АКБ «АВАНГАРД»;2879;;;2;2
Тамбовская область;ПАО «Промсвязьбанк»;3251;;;1;1
Тамбовская область;АО «Россельхозбанк»;3349;;1;20;21
Тамбовская область;НКО «ИНКАХРАН» (АО);3454;;;1;1
Тамбовская область;Санкт-Петербургский банк инвестиций (АО);3468;;;1;1
Тверская область;ООО «ХКФ Банк»;316;;;1;1
Тверская область;АО «АБ „РОССИЯ“;328;;;1;1
Тверская область;Банк ГПБ (АО);354;;;1;1
Тверская область;ПАО КБ «УБРиР»;429;;;1;1
Тверская область;АО «Почта Банк»;650;;;4;4
Тверская область;АО «Банк „Торжок“;933;1;1;2;4
Тверская область;ПАО «Совкомбанк»;963;;;1;1
Тверская область;Банк ВТБ (ПАО);1000;;;8;8
Тверская область;ООО КБ «Гефест»;1046;1;;;1
Тверская область;ООО «ФФИН Банк»;1143;;;1;1
Тверская область;АО «АЛЬФА-БАНК»;1326;;;5;5
Тверская область;ПАО Сбербанк;1481;;1;79;80
Тверская область;«СДМ-Банк» (ПАО);1637;;;1;1
Тверская область;АО МОСОБЛБАНК;1751;;;1;1
Тверская область;АКБ «ФОРА-БАНК» (АО);1885;;;1;1
Тверская область;ПАО «МОСКОВСКИЙ КРЕДИТНЫЙ БАНК»;1978;;;1;1
Тверская область;ПАО Банк «ФК Открытие»;2209;;;4;4
Тверская область;ПАО РОСБАНК;2272;;;1;1
Тверская область;ПАО «БАНК УРАЛСИБ»;2275;;;1;1
Тверская область;АО «Банк Русский Стандарт»;2289;;;1;1
Тверская область;АО «Банк ДОМ.РФ»;2312;;;1;1
Тверская область;АО «ОТП Банк»;2766;;;1;1
Тверская область;ПАО АКБ «АВАНГАРД»;2879;;;3;3
Тверская область;ПАО «Промсвязьбанк»;3251;;;1;1
Тверская область;Банк «ВБРР» (АО);3287;;;1;1
Тверская область;АО «Россельхозбанк»;3349;;1;18;19
Тверская область;КБ «Ренессанс Кредит» (ООО);3354;;;1;1
Тверская область;НКО «ИНКАХРАН» (АО);3454;;;1;1
Тульская область;ООО «ХКФ Банк»;316;;;1;1
Тульская область;АО «АБ „РОССИЯ“;328;;1;;1
Тульская область;Банк ГПБ (АО);354;;1;3;4
Тульская область;ПАО КБ «УБРиР»;429;;;1;1
Тульская область;АО «Почта Банк»;650;;;4;4
Тульская область;ПАО «Совкомбанк»;963;;;2;2
Тульская область;Банк ВТБ (ПАО);1000;;;18;18
Тульская область;ООО «ФФИН Банк»;1143;;;1;1
Тульская область;АО «АЛЬФА-БАНК»;1326;;;10;10
